pid,process_name,avg_cpu,max_cpu,avg_memory,total_disk_write,max_write_burst,process_lifetime,label
8148,msedge.exe,0.0,0.0,0.22,0,0,0.0,0
8340,ShellExperienceHost.exe,0.0,0.0,0.565,0,0,26855.0,0
8396,svchost.exe,0.0,0.0,0.25,0,0,35.0,0
8528,python.exe,0.0,0.0,0.15,0,0,51.0,0
8584,svchost.exe,0.0,0.0,0.09,0,0,19.0,0
8624,cmd.exe,0.0,0.0,0.0999999999999999,0,0,83.0,0
8648,svchost.exe,0.0,0.0,0.0899999999999999,0,0,83.0,0
8680,python.exe,0.0,0.0,0.18,14562,7329,23.0,1
8804,python.exe,0.0,0.0,0.18,14539,7293,35.0,1
8820,svchost.exe,0.0,0.0,0.08,0,0,1966.0,0
8840,taskhostw.exe,0.0,0.0,0.1014285714285714,0,0,431.0,0
8844,conhost.exe,0.0,0.0,0.26,0,0,431.0,0
8868,OneDrive.exe,26.622222222222224,127.8,3.6627777777777775,162934247,37782475,26855.0,1
8904,svchost.exe,0.0,0.0,0.11,0,0,35.0,0
8996,svchost.exe,0.0,0.0,0.254,0,0,1224482.0,0
9032,conhost.exe,0.0,0.0,0.26,0,0,431.0,0
9204,python.exe,0.0,0.0,0.15,0,0,23.0,0
9212,msedge.exe,0.0,0.0,0.2254545454545455,672,224,17067.0,1
9264,SearchProtocolHost.exe,0.0,0.0,0.09,0,0,0.0,0
9280,svchost.exe,0.0,0.0,0.44,0,0,83.0,0
9288,svchost.exe,0.0,0.0,0.08,0,0,1224482.0,0
9332,svchost.exe,0.0,0.0,0.09,0,0,23.0,0
9364,MusNotifyIcon.exe,0.0,0.0,0.0147058823529411,0,0,26828.0,0
9460,FileCoAuth.exe,0.8352941176470587,14.2,0.4317647058823529,24088,23400,26828.0,1
9464,svchost.exe,0.0,0.0,0.08,0,0,375.0,0
9472,RuntimeBroker.exe,0.0,0.0,0.2447058823529412,0,0,26829.0,0
9632,svchost.exe,0.0,0.0,0.0999999999999999,0,0,404.0,0
9648,svchost.exe,0.0,0.0,0.12,0,0,403.0,0
9656,NisSrv.exe,0.0,0.0,0.13,0,0,83.0,0
9752,svchost.exe,0.0,0.0,0.3,0,0,0.0,0
9800,svchost.exe,0.0,0.0,0.09125,0,0,1224482.0,0
9864,SearchFilterHost.exe,0.0,0.0,0.11,0,0,0.0,0
10040,SearchProtocolHost.exe,0.0,0.0,0.15,0,0,35.0,0
10064,msedge.exe,0.0,0.0,0.19,224,224,35.0,1
10140,msedge.exe,0.0,0.0,0.36,0,0,0.0,0
10204,svchost.exe,0.0,0.0,0.07,0,0,1986.0,0
10244,taskhostw.exe,0.0,0.0,0.25,0,0,84.0,0
11004,smartscreen.exe,0.0,0.0,0.29,0,0,64.0,0
11188,conhost.exe,0.0,0.0,0.26,0,0,84.0,0
